"","age1_orange.D","age2_no_comorbid_orange.D","age2_comorbid_orange.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"927",52,67,29,0,0
"928",0,0,0,0,0
"929",0,0,0,0,0
"930",56,92,40,4,35
"931",53,84,37,0,0
"932",58,74,39,7,36
"933",50,84,38,0,0
"934",62,89,43,0,1
"935",52,77,34,10,39
"936",45,70,32,0,0
"937",56,79,45,0,0
"938",65,85,37,0,0
"939",0,0,0,0,0
"940",0,0,0,0,0
"941",0,0,0,0,0
"942",0,0,0,0,0
"943",0,0,0,0,0
"944",44,74,28,6,42
"945",55,89,35,0,0
"946",59,85,36,9,35
"947",54,77,41,0,0
"948",65,76,29,5,40
"949",66,71,39,0,0
"950",59,76,45,1,1
"951",69,74,35,0,0
"952",76,92,47,5,36
"953",52,88,38,8,29
"954",59,67,29,0,0
"955",52,73,29,12,39
"956",0,0,0,0,0
"957",62,84,39,8,42
"958",49,71,35,12,39
"959",67,94,34,0,0
"960",56,68,41,8,39
"961",44,88,45,0,2
"962",56,71,32,0,0
"963",60,90,30,0,0
"964",0,0,0,0,0
"965",1,0,0,0,0
"966",47,79,32,0,0
"967",73,82,30,6,39
"968",63,83,37,0,0
"969",65,85,37,0,0
"970",0,1,0,0,0
"971",0,1,0,0,0
"972",52,75,27,8,41
"973",58,73,43,0,0
"974",69,87,27,0,0
"975",64,87,38,7,41
"976",58,62,40,0,0
"977",41,89,39,0,2
"978",65,80,31,10,44
"979",52,80,38,6,30
"980",49,69,42,0,0
"981",53,81,40,8,42
"982",0,0,0,0,0
"983",64,79,38,8,39
"984",50,93,36,0,0
"985",67,77,31,0,0
"986",0,0,0,0,0
"987",0,0,0,0,0
"988",54,68,41,0,0
"989",65,66,38,0,0
"990",0,0,0,0,0
"991",64,94,32,0,0
"992",41,75,29,4,44
"993",66,85,28,0,0
"994",45,90,40,0,0
"995",63,82,39,0,0
"996",61,73,38,4,36
"997",60,84,38,8,39
"998",60,81,27,0,0
"999",59,63,31,0,0
"1000",54,83,39,12,30
"1001",58,79,26,6,32
"1002",73,75,39,0,0
"1003",64,78,28,0,1
"1004",65,83,34,0,0
"1005",56,74,35,0,1
"1006",63,92,40,6,42
"1007",57,89,32,7,34
"1008",66,94,26,1,2
"1009",56,79,31,0,0
"1010",54,79,37,0,0
"1011",50,86,33,9,43
"1012",55,90,37,0,0
"1013",50,84,33,0,0
"1014",63,73,34,0,0
"1015",0,0,0,0,0
"1016",0,0,0,0,0
"1017",60,82,27,0,0
"1018",0,0,0,0,0
"1019",0,0,0,0,0
"1020",57,79,42,4,37
"1021",59,77,32,11,41
"1022",50,76,36,11,39
"1023",68,85,40,0,1
"1024",73,75,39,0,1
"1025",69,67,29,0,4
"1026",62,88,35,9,37
"1027",57,89,29,4,36
"1028",67,73,34,0,0
"1029",59,76,37,0,0
"1030",52,69,39,13,35
"1031",51,85,29,0,0
"1032",70,74,41,0,0
"1033",52,83,34,0,0
"1034",57,91,36,0,0
"1035",0,0,0,0,0
"1036",47,69,45,0,0
"1037",0,0,0,0,0
"1038",49,85,34,0,0
"1039",58,72,34,0,0
"1040",0,1,0,0,0
"1041",57,100,35,0,0
"1042",53,78,30,0,0
