"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_orange.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1007",243,259,30,0,0
"1008",220,209,33,15,16
"1009",242,251,31,9,9
"1010",211,225,32,0,1
"1011",237,248,28,7,11
"1012",210,238,33,12,14
"1013",237,255,31,0,0
"1014",0,1,0,0,0
"1015",0,1,0,0,0
"1016",0,0,0,0,0
"1017",236,228,29,0,0
"1018",0,1,0,0,0
"1019",247,248,38,0,0
"1020",217,209,31,10,16
"1021",224,228,30,2,1
"1022",246,235,35,0,0
"1023",230,229,36,0,0
"1024",217,233,38,0,0
"1025",241,253,32,9,15
"1026",230,230,37,10,12
"1027",227,235,35,0,0
"1028",218,205,39,0,0
"1029",240,235,37,8,15
"1030",208,219,29,0,0
"1031",240,256,36,0,0
"1032",223,219,33,4,5
"1033",243,249,36,10,13
"1034",227,220,34,9,13
"1035",0,1,0,0,0
"1036",240,212,30,7,14
"1037",239,244,29,9,9
"1038",241,220,33,0,0
"1039",0,1,0,0,0
"1040",0,1,0,0,0
"1041",0,0,0,0,0
"1042",222,261,42,0,0
"1043",221,231,30,0,0
