"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_orange.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"528",29.4317776369559,35.8785941432576,33.456820330739,46.1549040500322,52.226310895507
"529",25.4072420755585,36.6456672333813,30.8103366848599,0,0
"530",0,0,0,0,0
"531",45.1475598369899,47.1904259224343,44.9162606323928,122.675695922439,116.620385488804
"532",31.5290787150126,35.9915519726768,23.4592451291593,0,0
"533",31.1710518706013,36.3118452905529,34.2160535303091,0,0
"534",30.88005015968,37.2216187972055,33.9493239629943,55.9536802367786,64.9081009655326
"535",35.6864288888054,39.6532976794488,39.8320941867505,0,0
"536",0,0,0,0,0
"537",35.0789838211498,35.9139923882992,35.9139923882992,0,0
"538",0,0,0,0,0
"539",43.2084974852984,43.525914694955,41.2813586581142,0,0
"540",48.8452851422057,50.7083030140382,40.0428048452415,0,0
"541",36.1761884992832,33.7606012127019,40.9086013252948,70.3759335657012,59.1547254686042
"542",49.4161255421386,50.5716702160559,47.8674847052717,0,0
"543",36.5522409286335,40.4438498926673,37.3594532267417,0,0
"544",35.8834810126738,37.8030850871713,36.1258915185653,105.352665844394,40.2551088517703
"545",26.9958774344294,32.1665892023821,35.3840671977704,0,0
"546",62.2798184532973,72.1331865201109,66.6893955024412,88.7106373247558,103.1936453013
"547",0,0,0,0,0
"548",36.8275356261527,41.0318036402417,38.448570359701,0,0
"549",27.3027678975744,36.1728622066713,30.8162001842,64.4209569755762,69.0415888467133
"550",29.4883706227373,25.276203451856,32.3313014621408,55.1277604396099,57.0968085999176
"551",28.3842083500289,29.9229112985707,34.9925363472424,37.9721384487757,132.743503610025
"552",30.5339618955185,35.110327067811,30.0909800883521,69.5834012940649,68.7445809663083
"553",32.3645468742093,38.2606217570941,35.1606852162136,0,0
"554",49.2697650375561,51.287541752112,49.4907064587158,0,0
"555",44.45623159088,43.7692983839803,47.3601955758756,62.7041554622987,56.4530958987841
"556",37.0798356319845,32.8255473856631,31.0124503499563,83.8210737234569,80.2599704327497
"557",35.3035851548919,36.971108224829,37.3611667755229,0,0
"558",34.4974258830414,37.2748684361102,32.1453110879125,52.2804422241541,61.7747710592295
"559",36.8460176622444,40.5925188122313,40.0961953143081,0,0
"560",31.8965333149333,33.7992650798184,30.7882774064174,80.0116643918323,78.7100450868745
"561",0,0,0,0,0
"562",31.2918745840892,32.8796119165831,29.8747649250392,0,0
"563",29.1960806393871,38.1617585787884,30.8750647030767,67.0951074568487,68.2871308864727
"564",36.6843716160259,38.7313123346163,41.5886318394292,62.6054188583094,69.7119926066511
"565",42.7264710193686,43.3190151028404,38.8203241199851,0,0
"566",33.787752249217,33.085688953618,37.5978590742413,0,0
"567",39.5261667731337,43.7693411585333,48.4003746784808,65.0421277799882,66.5275425471278
"568",45.6692471635096,47.614198557493,40.3642258165595,0,0
"569",39.6786112105036,44.5099104282551,49.1657806355816,60.5648215542056,57.0683328352252
"570",0,7.20569094606091,0,0,0
"571",43.5551451006127,50.9093797446255,40.6227114942503,0,0
"572",0,0,0,0,0
"573",40.0677072159498,41.189798776554,42.2051914668829,0,0
"574",33.130463362063,33.5604485872144,31.6196796112601,39.2696453920629,51.4507354703324
"575",42.1814689367335,45.6563321432836,50.6034238017699,0,0
"576",34.8519913701308,38.4668589561463,33.6591704161941,0,0
"577",0,0,0,0,0
"578",38.0704401246626,38.0050979600106,32.91968376963,67.4583283113624,59.9819283182975
"579",73.8604960830578,74.2215581755,72.2578271252019,0,0
"580",29.5598926786636,28.4279704413536,25.8880655748988,0,0
"581",44.3546689120311,44.6743325267753,41.4892045769726,99.2766096961511,96.187758583886
"582",41.0548680891917,46.2096086714636,42.4685880170523,48.7678358821415,57.4404295825691
"583",34.5566793366538,31.7996921485994,38.2393857262373,59.8670741618687,67.5014248273946
"584",32.6084729757618,35.170839150628,38.0587457326852,0,0
"585",0,0,0,0,0
"586",40.3463560371781,43.7579171624429,44.8409567541339,0,0
"587",35.2351552984832,35.801101419391,40.9253388437844,0,0
"588",34.9562918704826,36.9132426154683,35.2112849245464,58.7095174113843,54.4320894448326
"589",39.7353063897681,40.1062854204846,47.6954308818374,85.2763116800076,70.225569600035
"590",45.5262878983044,48.113794362042,38.5248268675365,63.0368358272407,67.1980062318436
"591",32.9144356531933,33.3438146119596,30.9761115977566,0,0
"592",0,0.796824213747914,0,0,0
"593",32.8619874731677,33.1987991020833,32.7730866036126,0,0
"594",30.794791641575,32.7153445124379,27.7457520119627,0,0
"595",44.7325449752256,42.4577203863245,36.2217473832495,0,0
"596",40.9424155293152,44.9517607293633,55.3597638098159,0,0
"597",0,0,0,0,0
"598",23.4422745916362,27.1969746363756,24.7718503687918,0,0
"599",48.6132058668638,52.0259258518365,42.6049185988905,0,0
"600",40.9937397502557,48.1624041059747,46.6055803682943,0,0
"601",30.8342337996297,33.5115233109121,36.4261115407714,63.0207693059365,70.7696652501097
"602",29.7802892133348,35.7607640840868,35.9517477456746,36.1128863978253,44.2791041308637
"603",34.9796103930272,38.1026080643105,31.331642460553,0,0
"604",33.7623393783845,40.7534827370692,36.8437325514652,0,0
"605",59.3944537825694,61.2707255345191,49.3169795451423,105.918823710312,95.9820109188777
"606",37.3683299751595,39.3431380932854,31.5530429206838,0,0
"607",0,0,0,0,0
"608",45.840479344522,46.6726392206789,47.94149366363,0,0
"609",34.9827216473875,35.4470010033912,35.6988751846933,0,0
"610",32.5315857160378,32.9570548040022,34.2208350454256,72.6178338909975,58.8481171737246
"611",35.5386084104421,37.165967543616,31.9555284301723,0,0
"612",47.3336922415282,57.1572057670686,46.7654210924888,0,0
"613",58.0544146046976,59.63165101238,45.9136953916137,94.1291671276742,86.353815113359
"614",33.7532521419422,31.2722308547418,40.2697229620848,0,0
"615",35.3381704261547,35.2721873795079,43.391192204201,0,0
"616",29.1489056952639,34.2870999623712,29.5379868582378,26.9123782311141,0
"617",40.739920079121,40.5755220309266,42.9290554133448,0,0
"618",44.3859697749505,44.9347443100183,42.3311078701895,0,0
"619",38.771791234213,42.8594742758332,37.6468451217394,0,0
"620",0,5.73836562638528,0,0,0
"621",32.8720922572708,30.830517946073,37.8957281391535,0,0
"622",0,0,0,0,0
"623",0,0,0,0,0
