"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"619",753,825,82,33,25
"620",0,1,0,0,0
"621",0,1,0,0,0
"622",746,823,83,26,31
"623",744,816,90,28,20
"624",754,818,85,25,26
"625",750,818,83,30,20
"626",748,817,77,31,24
"627",759,823,90,27,22
"628",757,795,89,29,31
"629",2,1,0,0,0
"630",734,831,83,20,17
"631",761,824,0,0,0
"632",757,827,82,28,23
"633",753,834,90,30,34
"634",751,830,86,27,22
"635",754,835,0,0,0
"636",752,803,86,26,30
"637",760,798,83,26,20
"638",753,809,82,31,25
"639",0,2,0,0,0
"640",753,835,1,0,0
"641",747,818,90,31,23
"642",0,1,0,0,0
"643",751,828,83,29,17
"644",0,1,0,0,0
"645",0,1,0,0,0
"646",749,819,88,30,26
"647",757,840,70,26,29
"648",747,810,87,25,22
"649",752,828,78,31,17
"650",759,804,91,25,24
"651",753,801,0,0,0
"652",751,815,83,27,21
"653",0,1,0,0,0
"654",744,822,81,25,21
"655",754,824,0,0,0
"656",746,816,86,29,29
"657",745,831,78,24,17
"658",748,829,0,0,0
"659",757,823,87,31,21
"660",747,800,80,31,25
"661",749,830,0,0,0
"662",761,835,1,0,0
"663",745,835,79,26,18
"664",739,844,87,21,26
"665",741,825,0,0,0
"666",759,799,73,27,21
"667",0,2,0,0,0
"668",758,831,79,28,28
"669",740,843,81,26,21
"670",747,823,0,0,0
"671",755,823,81,23,26
"672",743,815,84,28,19
"673",758,803,86,33,22
"674",730,819,84,27,23
"675",729,810,84,25,29
"676",748,840,0,0,0
"677",754,819,0,0,0
"678",766,835,85,22,27
"679",754,816,0,0,0
"680",0,1,0,0,0
"681",764,836,92,31,25
"682",750,815,87,32,26
"683",745,829,84,29,23
"684",758,810,0,0,0
"685",720,837,83,28,32
"686",2,2,0,0,0
"687",736,839,95,35,29
"688",750,820,0,0,1
"689",754,820,82,28,28
"690",755,815,91,23,27
"691",0,1,0,0,0
"692",744,808,87,24,14
"693",750,822,82,25,30
"694",0,1,0,0,0
"695",754,802,84,31,32
"696",751,827,77,27,31
"697",754,813,91,33,20
"698",756,817,82,35,22
"699",0,1,0,0,0
"700",757,825,82,32,29
"701",742,825,83,25,28
"702",748,824,87,30,24
"703",766,807,85,26,23
"704",742,824,82,30,28
"705",757,800,85,28,25
"706",754,840,92,31,24
"707",750,821,89,24,23
"708",760,796,1,0,0
"709",751,804,84,31,27
"710",749,839,75,36,29
"711",729,827,0,0,0
"712",741,809,90,19,27
"713",746,819,0,0,0
"714",748,821,0,0,0
"715",744,825,85,29,30
"716",741,814,0,0,0
"717",747,851,89,33,28
"718",755,836,0,0,0
"719",0,1,0,0,0
"720",749,825,78,31,16
"721",765,813,88,31,27
"722",0,1,0,0,0
"723",734,833,77,32,34
"724",737,828,0,0,0
"725",744,823,91,31,30
"726",747,829,0,1,0
"727",757,824,93,27,19
"728",759,818,76,35,25
"729",741,820,81,25,31
"730",748,824,85,26,22
"731",750,803,86,27,18
"732",752,801,81,25,28
"733",1,2,0,0,0
"734",765,809,0,0,0
"735",748,843,82,33,27
"736",767,828,0,0,0
"737",0,1,0,0,0
