"","age1.S","age2_no_comorbid.S","age2_comorbid.S","age3_no_comorbid.S","age3_comorbid.S"
"848",813,941,124,44,74
"849",814,941,125,44,75
"850",302,503,71,27,51
"851",284,504,65,21,45
"852",801,937,122,43,75
"853",814,941,125,44,75
"854",814,941,125,44,75
"855",356,583,78,28,58
"856",809,939,125,44,75
"857",814,939,125,44,75
"858",814,941,125,44,75
"859",813,941,125,44,75
"860",428,629,69,34,57
"861",808,936,124,44,75
"862",391,609,75,31,54
"863",814,941,125,44,75
"864",316,552,68,31,54
"865",814,941,125,44,75
"866",814,941,125,44,75
"867",375,570,80,29,54
"868",390,584,80,26,54
"869",814,941,125,44,75
"870",508,725,96,35,61
"871",813,938,124,44,74
"872",812,941,125,44,75
"873",314,560,69,36,53
"874",389,595,74,32,59
"875",350,563,74,36,52
"876",814,940,125,44,75
"877",814,941,125,44,75
"878",384,598,77,33,48
"879",813,940,125,44,75
"880",814,941,125,44,75
"881",814,941,125,44,75
"882",811,939,124,44,75
"883",291,528,76,30,57
"884",293,511,70,33,55
"885",414,630,81,32,58
"886",813,938,125,44,75
"887",814,941,125,44,75
"888",813,940,125,44,75
"889",807,938,125,44,75
"890",810,939,125,44,75
"891",814,940,125,44,75
"892",813,941,125,44,75
"893",814,940,125,44,75
"894",814,941,125,44,75
"895",804,939,124,44,75
"896",813,937,125,44,74
"897",814,941,125,44,75
"898",814,941,125,44,75
"899",814,941,125,44,75
"900",812,940,125,44,75
"901",814,940,125,44,75
"902",814,939,125,44,75
"903",814,941,124,44,75
"904",814,941,125,44,75
"905",814,941,125,44,75
"906",292,495,77,33,52
"907",806,935,125,43,75
"908",285,493,58,30,41
"909",814,941,125,44,75
"910",260,451,69,27,49
"911",292,505,67,36,54
"912",814,941,125,44,75
"913",812,938,124,44,75
"914",459,667,85,32,62
"915",327,549,70,35,54
"916",813,941,125,44,75
"917",814,941,125,44,75
"918",392,613,80,33,54
"919",814,941,125,44,75
"920",257,477,67,30,48
"921",813,939,125,44,75
"922",329,532,66,25,47
"923",813,941,125,44,75
"924",814,941,125,44,75
"925",814,941,125,44,75
"926",814,941,125,44,75
"927",811,940,125,44,75
"928",792,930,123,43,74
"929",814,941,125,44,75
"930",814,941,125,44,75
"931",511,694,100,40,64
"932",814,941,125,44,75
"933",814,941,125,44,75
"934",333,544,70,27,53
"935",277,525,68,28,46
"936",814,941,125,44,75
"937",814,939,125,44,75
"938",272,533,68,28,44
"939",814,941,125,44,75
"940",811,941,125,44,75
"941",814,941,125,44,75
"942",813,941,124,44,75
"943",393,582,71,36,53
"944",814,941,125,44,75
"945",814,941,125,44,75
"946",303,494,63,31,49
"947",809,941,124,44,75
"948",814,941,125,44,75
"949",357,561,74,34,51
"950",814,941,125,44,75
"951",814,940,125,44,75
"952",814,941,125,44,75
"953",368,560,74,35,53
"954",814,941,125,44,75
"955",811,938,125,44,75
"956",280,491,68,27,47
"957",814,941,125,44,75
"958",800,933,123,44,75
"959",813,940,125,44,75
"960",486,717,95,33,58
"961",347,576,84,36,54
"962",804,936,125,44,74
"963",323,562,73,29,52
"964",814,941,125,44,75
"965",811,939,125,44,75
"966",256,473,70,27,53
"967",810,937,125,44,75
"968",811,940,125,44,75
"969",367,560,76,35,55
"970",321,489,69,26,51
"971",813,941,125,44,75
"972",276,490,63,29,53
"973",814,941,125,44,75
"974",814,941,125,44,75
"975",813,938,125,44,75
"976",806,939,125,44,75
"977",814,941,125,44,75
"978",292,487,70,32,51
"979",814,941,124,44,75
"980",265,465,66,27,47
"981",729,879,115,43,69
"982",814,941,125,44,75
"983",813,940,124,44,75
"984",814,941,124,44,74
"985",814,941,125,44,75
"986",814,941,125,44,75
"987",813,940,125,44,75
"988",813,941,124,44,75
"989",682,851,105,38,71
"990",327,521,72,28,53
"991",728,880,116,41,69
"992",289,482,68,35,52
"993",813,940,125,44,74
"994",814,941,125,44,75
"995",355,609,81,35,62
"996",814,941,124,44,75
"997",808,936,125,43,75
"998",812,939,125,44,75
"999",812,938,125,44,75
"1000",814,941,125,44,75
"1001",814,941,125,44,75
"1002",814,941,125,44,75
"1003",814,938,124,44,75
"1004",814,941,125,44,75
"1005",813,940,125,43,75
"1006",286,481,64,26,47
"1007",333,557,63,29,51
"1008",813,940,125,44,75
"1009",310,545,76,31,53
"1010",808,940,124,43,75
"1011",783,929,124,44,75
"1012",258,482,58,26,42
"1013",813,937,125,44,75
"1014",814,941,125,44,75
"1015",814,940,125,44,75
"1016",328,569,74,34,52
"1017",802,930,123,44,73
"1018",473,665,90,33,63
"1019",813,941,125,44,75
"1020",790,917,119,41,74
"1021",813,940,124,44,75
"1022",808,936,124,44,75
"1023",814,941,125,44,75
"1024",814,941,125,44,75
"1025",362,604,78,33,59
"1026",813,940,125,44,75
"1027",805,936,124,44,75
"1028",288,502,70,29,47
"1029",812,941,125,44,75
"1030",367,576,73,32,46
