"","age1.D","age2_no_comorbid.D","age2_comorbid.D","age3_no_comorbid.D","age3_comorbid.D"
"945",19,34,28,3,46
"946",30,46,28,5,42
"947",26,44,27,7,45
"948",31,39,22,9,43
"949",31,59,30,10,40
"950",34,54,28,10,37
"951",27,41,32,7,46
"952",42,55,31,5,40
"953",0,0,0,0,0
"954",27,34,24,5,34
"955",29,60,32,5,43
"956",0,0,0,0,0
"957",0,0,0,0,0
"958",32,42,31,7,23
"959",27,51,20,4,38
"960",26,50,35,4,38
"961",36,46,35,4,40
"962",20,42,38,10,40
"963",31,43,24,5,38
"964",23,53,30,10,38
"965",24,39,24,3,34
"966",0,0,0,0,0
"967",0,0,0,0,0
"968",0,0,0,0,0
"969",0,0,0,0,0
"970",28,49,30,11,33
"971",30,47,35,7,37
"972",26,46,35,5,42
"973",0,0,0,0,0
"974",36,42,23,6,39
"975",27,58,24,7,33
"976",37,42,26,9,34
"977",34,44,25,6,33
"978",31,54,38,12,42
"979",24,53,24,10,39
"980",0,0,0,0,0
"981",30,56,35,8,41
"982",0,1,0,0,0
"983",17,35,30,10,39
"984",0,0,0,0,0
"985",33,41,28,12,40
"986",24,55,28,6,34
"987",24,52,23,7,35
"988",35,47,31,9,35
"989",0,0,0,0,0
"990",41,40,28,12,40
"991",25,57,29,10,35
"992",35,44,32,8,39
"993",0,0,0,0,0
"994",0,0,0,0,0
"995",23,43,29,10,36
"996",29,57,30,6,35
"997",36,42,40,9,35
"998",29,40,32,8,35
"999",0,0,0,0,0
"1000",32,51,24,8,38
"1001",32,57,30,7,43
"1002",40,52,35,10,38
"1003",19,49,26,7,38
"1004",32,46,33,2,44
"1005",32,54,33,8,43
"1006",34,41,31,11,32
"1007",29,50,30,10,36
"1008",0,0,0,0,0
"1009",24,46,27,6,37
"1010",35,40,23,7,34
"1011",26,51,27,6,39
"1012",40,39,26,11,38
"1013",23,40,27,7,34
"1014",32,47,26,11,42
"1015",29,43,27,11,40
"1016",31,42,30,13,33
"1017",36,50,27,5,38
"1018",27,42,32,6,41
"1019",0,0,0,0,0
"1020",0,0,0,0,0
"1021",39,43,34,11,34
"1022",0,0,0,0,0
"1023",36,42,32,10,27
"1024",27,43,34,10,39
"1025",0,0,0,0,0
"1026",32,52,29,14,34
"1027",19,47,29,3,34
"1028",45,58,27,4,32
"1029",0,0,0,0,0
"1030",39,58,32,6,31
"1031",28,46,32,6,36
"1032",21,32,35,6,32
"1033",30,53,36,9,29
"1034",0,0,0,0,0
"1035",26,52,27,4,40
"1036",35,43,29,7,40
"1037",0,0,0,0,0
"1038",28,49,30,9,37
"1039",0,0,0,0,0
"1040",28,42,36,11,27
"1041",23,52,34,7,40
"1042",37,45,33,8,40
"1043",29,45,22,7,46
"1044",32,40,26,7,42
"1045",33,48,35,12,38
"1046",0,0,0,0,0
"1047",22,38,25,9,36
"1048",0,0,0,0,0
"1049",0,0,0,0,0
