"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"833",0,0,0,0,0
"834",16,28,14,5,8
"835",0,0,0,0,0
"836",16,24,5,2,8
"837",16,13,6,4,9
"838",17,16,7,5,7
"839",25,18,6,3,8
"840",17,17,8,4,11
"841",20,18,11,2,10
"842",14,14,11,2,10
"843",14,19,8,4,8
"844",17,18,11,2,12
"845",0,0,0,0,0
"846",0,0,0,0,0
"847",0,0,0,0,0
"848",19,18,7,3,13
"849",11,14,6,2,10
"850",19,23,7,4,7
"851",20,20,6,2,10
"852",18,16,6,3,8
"853",19,23,8,2,9
"854",0,0,0,0,0
"855",0,0,0,0,0
"856",0,1,0,0,0
"857",0,0,0,0,0
"858",20,19,11,4,14
"859",0,0,0,0,0
"860",17,19,9,5,12
"861",0,0,0,0,0
"862",24,21,12,3,9
"863",0,0,0,0,0
"864",17,21,12,3,7
"865",15,27,7,2,6
"866",21,12,5,2,9
"867",16,17,7,4,14
"868",24,21,7,4,10
"869",0,0,0,0,0
"870",15,15,9,4,8
"871",18,19,7,3,8
"872",0,0,0,0,0
"873",18,17,4,3,10
"874",0,0,0,0,0
"875",0,0,0,0,0
"876",20,14,10,3,9
"877",14,19,11,6,7
"878",15,15,13,4,5
"879",12,15,4,3,9
"880",25,21,10,4,10
"881",21,20,6,2,7
"882",14,21,9,1,10
"883",15,25,5,3,8
"884",0,0,0,0,0
"885",0,0,0,0,0
"886",18,18,8,4,8
"887",0,0,0,0,0
"888",20,19,10,2,9
"889",21,18,8,4,9
"890",0,0,0,0,0
"891",22,21,7,3,9
"892",20,18,10,2,7
"893",20,22,10,4,7
"894",25,15,4,4,8
"895",20,15,9,3,7
"896",20,21,7,4,9
"897",12,23,9,2,8
"898",21,23,6,3,7
"899",20,16,6,3,10
"900",0,0,1,0,0
"901",19,18,9,3,10
"902",14,23,4,2,8
"903",0,0,0,0,0
"904",13,16,10,1,8
"905",22,17,9,6,6
"906",13,17,7,5,8
"907",0,0,0,0,0
"908",21,24,10,3,7
"909",21,20,10,4,7
"910",16,17,10,3,10
"911",0,0,0,0,0
"912",18,25,8,1,8
"913",0,0,0,0,0
"914",22,19,8,4,6
"915",15,19,8,6,11
"916",19,18,6,6,9
"917",19,21,9,3,9
"918",17,14,4,3,7
"919",22,25,8,3,6
"920",0,0,0,0,0
"921",18,18,5,4,8
"922",16,15,11,4,8
"923",0,0,0,0,0
"924",21,20,9,2,6
"925",14,22,5,5,9
"926",0,0,0,0,0
"927",0,0,0,0,0
"928",17,16,7,2,6
"929",17,22,6,4,10
"930",20,28,11,2,8
"931",21,21,8,3,8
"932",15,18,13,2,7
"933",20,19,7,3,7
"934",17,16,7,2,8
"935",13,21,13,2,12
"936",0,0,0,0,0
"937",0,0,0,0,0
"938",0,0,0,0,0
"939",0,0,0,0,0
"940",0,0,0,0,0
"941",25,20,7,1,7
"942",22,21,7,4,8
"943",0,0,0,0,0
"944",18,25,7,4,9
"945",16,16,5,5,9
"946",0,1,0,0,0
"947",12,22,6,1,5
"948",20,24,9,3,9
"949",17,17,9,4,10
"950",23,16,12,2,8
"951",19,21,11,3,6
"952",23,18,8,1,8
"953",17,15,7,2,8
"954",0,0,0,0,0
"955",18,19,10,2,8
"956",0,0,0,0,0
"957",19,20,8,5,11
"958",13,17,10,3,7
"959",0,0,0,0,0
"960",18,22,7,3,9
"961",21,31,13,3,10
"962",17,16,10,5,8
"963",21,19,7,3,6
"964",18,19,11,4,9
"965",0,0,0,0,0
"966",0,0,0,0,0
"967",19,14,8,3,9
"968",21,15,6,2,6
"969",0,0,0,0,0
"970",0,0,0,0,0
"971",14,21,7,3,6
"972",0,1,0,0,0
"973",14,19,7,3,7
"974",19,19,8,2,11
"975",20,13,9,3,12
"976",0,0,0,0,0
"977",15,14,5,3,7
"978",20,17,9,2,7
"979",21,18,7,3,7
"980",0,0,0,0,0
"981",19,19,11,3,8
"982",22,22,8,3,11
"983",17,24,10,2,7
"984",17,16,10,4,8
"985",29,26,4,2,7
"986",18,18,8,3,7
"987",0,0,0,0,0
"988",21,15,10,3,11
"989",16,19,7,4,7
"990",25,21,7,3,7
"991",17,27,8,5,5
"992",18,16,9,3,11
"993",16,18,7,2,11
"994",0,0,0,0,0
"995",19,17,6,5,8
"996",17,23,9,5,11
"997",22,17,9,2,8
"998",11,20,5,2,7
"999",17,17,4,2,7
"1000",21,16,7,2,11
"1001",20,18,3,6,7
"1002",16,21,10,4,9
"1003",1,1,0,0,0
"1004",0,0,0,0,0
"1005",19,21,7,4,12
"1006",16,24,9,3,8
"1007",16,17,7,2,8
"1008",0,0,0,0,0
"1009",17,15,8,4,7
"1010",0,0,0,0,0
"1011",19,20,10,2,10
"1012",0,0,0,0,0
"1013",15,19,9,3,8
"1014",0,0,0,0,0
"1015",0,0,0,0,0
"1016",18,17,9,3,10
"1017",20,19,9,2,10
"1018",0,0,0,0,0
"1019",14,24,7,7,7
"1020",0,0,0,0,0
"1021",17,17,10,5,7
"1022",15,22,7,4,7
"1023",0,0,0,0,0
"1024",0,1,0,0,0
"1025",12,16,6,5,8
"1026",0,0,0,0,0
"1027",25,20,4,2,13
"1028",20,17,9,3,8
"1029",0,0,0,0,0
"1030",0,0,0,0,0
"1031",19,20,8,6,4
"1032",17,16,12,2,7
"1033",0,0,0,0,0
"1034",23,21,7,2,8
"1035",20,15,9,6,10
"1036",18,19,12,4,9
"1037",13,15,12,3,12
"1038",0,1,0,0,0
"1039",18,22,9,3,10
"1040",14,18,8,4,8
"1041",19,18,9,3,6
"1042",19,18,9,6,11
"1043",10,17,10,2,11
"1044",18,20,6,2,12
"1045",15,15,11,6,8
"1046",0,0,0,0,0
"1047",14,19,9,4,6
"1048",13,15,6,4,8
"1049",24,10,9,4,8
