"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"854",0,0,0,0,0
"855",0,0,0,0,0
"856",0,0,0,0,0
"857",0,0,0,0,0
"858",0,0,0,0,0
"859",0,0,0,0,0
"860",0,0,0,0,0
"861",0,0,0,0,0
"862",0,0,0,0,0
"863",7,3,3,2,2
"864",7,5,3,1,6
"865",0,0,0,0,0
"866",3,2,2,1,3
"867",4,5,2,1,4
"868",0,0,0,0,0
"869",5,4,6,1,5
"870",4,7,2,1,5
"871",4,4,4,1,4
"872",0,0,0,0,0
"873",4,5,3,0,4
"874",6,5,4,1,7
"875",6,4,3,1,4
"876",0,0,0,0,0
"877",0,0,0,0,0
"878",0,0,0,0,0
"879",4,3,4,1,4
"880",1,0,0,0,0
"881",0,0,1,0,0
"882",0,0,1,0,0
"883",0,0,0,0,0
"884",0,0,0,0,0
"885",0,0,0,0,0
"886",4,2,2,1,2
"887",0,0,0,0,0
"888",0,0,0,0,0
"889",0,0,1,0,0
"890",0,0,0,0,0
"891",0,0,0,0,0
"892",0,0,0,0,0
"893",0,0,0,0,0
"894",11,6,5,1,3
"895",0,0,0,0,0
"896",0,0,0,0,0
"897",0,0,0,0,0
"898",0,0,0,0,0
"899",5,7,4,1,5
"900",6,4,3,0,4
"901",0,0,0,0,0
"902",4,5,3,3,2
"903",6,6,3,1,3
"904",8,3,4,1,3
"905",0,0,0,0,0
"906",3,6,5,2,4
"907",5,7,3,1,5
"908",0,0,0,0,0
"909",0,0,0,0,0
"910",0,0,0,0,0
"911",6,6,3,2,6
"912",6,4,3,1,3
"913",0,0,0,0,0
"914",3,3,6,2,4
"915",5,5,4,1,3
"916",0,0,0,0,0
"917",0,0,0,0,0
"918",0,0,0,0,0
"919",4,8,3,2,5
"920",3,5,2,1,3
"921",5,5,5,1,4
"922",0,0,0,0,0
"923",0,0,0,0,0
"924",0,0,0,0,0
"925",5,4,7,2,2
"926",1,0,0,0,0
"927",6,4,3,2,4
"928",4,5,3,1,4
"929",5,4,4,2,4
"930",7,8,2,1,5
"931",4,5,2,3,9
"932",7,6,5,1,2
"933",4,5,4,2,5
"934",0,0,0,0,0
"935",4,8,4,1,4
"936",6,3,2,2,3
"937",0,0,0,0,0
"938",4,5,5,1,4
"939",2,4,2,1,2
"940",3,6,2,1,3
"941",0,1,0,0,0
"942",0,0,0,0,0
"943",0,0,0,0,0
"944",0,0,0,0,0
"945",0,1,0,0,0
"946",4,2,6,1,3
"947",0,0,0,0,0
"948",0,0,0,0,0
"949",3,3,3,1,3
"950",6,6,2,1,3
"951",0,0,0,0,0
"952",5,6,3,1,2
"953",3,5,3,2,3
"954",6,5,3,0,3
"955",0,0,0,1,0
"956",3,3,2,2,4
"957",7,3,3,1,3
"958",0,0,0,0,0
"959",6,3,2,1,4
"960",4,5,5,1,4
"961",3,8,5,1,5
"962",5,5,4,2,5
"963",0,0,0,0,0
"964",6,3,3,2,4
"965",0,0,0,0,0
"966",8,6,4,1,3
"967",0,0,0,0,0
"968",5,4,2,1,3
"969",6,3,3,1,5
"970",0,0,0,0,0
"971",6,4,3,1,3
"972",0,0,0,0,0
"973",3,4,2,1,4
"974",0,0,0,0,0
"975",5,5,4,1,4
"976",5,4,3,2,4
"977",0,0,0,0,0
"978",0,0,0,0,0
"979",0,0,0,0,0
"980",6,4,4,1,5
"981",1,0,0,0,1
"982",0,0,0,0,0
"983",0,0,0,0,0
"984",0,0,0,0,0
"985",4,4,3,0,3
"986",5,4,4,2,5
"987",0,0,0,0,0
"988",4,6,4,2,3
"989",5,4,2,0,3
"990",0,0,0,0,0
"991",0,0,0,0,0
"992",0,0,0,0,0
"993",5,3,4,2,5
"994",0,0,0,0,0
"995",7,2,4,1,3
"996",0,0,0,0,0
"997",3,3,2,1,2
"998",0,0,0,0,0
"999",7,4,2,1,3
"1000",5,3,3,2,1
"1001",4,4,3,1,5
"1002",0,0,0,0,0
"1003",0,0,0,0,0
"1004",5,3,3,3,4
"1005",0,1,0,0,0
"1006",6,4,4,2,5
"1007",8,4,4,2,2
"1008",0,0,0,0,0
"1009",0,0,0,0,0
"1010",5,6,2,3,4
"1011",9,3,3,3,5
"1012",5,3,5,1,4
"1013",0,0,0,0,0
"1014",0,0,0,0,0
"1015",0,0,0,0,0
"1016",5,5,3,1,5
"1017",5,3,2,3,3
"1018",7,3,3,2,4
"1019",1,0,0,0,0
"1020",0,0,0,0,0
"1021",3,3,3,1,5
"1022",0,0,0,0,0
"1023",4,4,6,2,2
"1024",3,5,5,2,3
"1025",0,0,0,0,0
"1026",4,6,5,0,4
"1027",0,0,0,0,0
"1028",5,7,6,1,3
"1029",0,0,0,0,0
"1030",0,0,0,0,0
"1031",5,5,3,0,4
"1032",0,0,0,0,0
"1033",0,0,0,0,0
"1034",0,0,0,0,0
"1035",0,0,0,0,0
"1036",5,4,3,1,3
"1037",7,5,3,1,4
"1038",4,7,3,2,7
"1039",0,0,0,0,0
"1040",4,3,3,1,1
"1041",0,0,0,0,1
"1042",0,0,0,0,0
"1043",5,2,3,1,2
"1044",5,5,5,2,7
"1045",0,0,0,0,0
"1046",6,5,3,1,2
"1047",0,0,0,0,0
"1048",6,4,4,1,3
"1049",0,0,0,0,0
